Symptoms,Disease
"nausea, cough, abdominal pain, sore throat, tremors, swelling, anxiety,7",Epilepsy
"weight gain, diarrhea, anxiety,3",IBS
"weight gain, abdominal pain, dizziness, shortness of breath, vomiting, insomnia, appetite loss,7",Liver Disease
"runny nose, dizziness, swelling, sore throat, fever,5",Tuberculosis
"weight loss, vomiting, abdominal pain,3",Pneumonia
"diarrhea, rash, chest pain,3",Sinusitis
"anxiety, appetite loss, depression, abdominal pain, fever,5",Anemia
"headache, shortness of breath, fatigue,3",Bronchitis
"anxiety, vomiting, blurred vision, dizziness, insomnia,5",Heart Disease
"tremors, cough, sore throat, depression, muscle pain,5",Migraine
"swelling, headache, depression, shortness of breath, nausea,5",Common Cold
"weight loss, fever, fatigue, sore throat, blurred vision, headache,6",Anemia
"headache, muscle pain, tremors, cough, chest pain, rash, swelling,7",Dementia
"rash, swelling, weight loss,3",Asthma
"tremors, nausea, appetite loss, muscle pain,4",Tuberculosis
"appetite loss, muscle pain, insomnia, tremors, back pain,5",Bronchitis
"joint pain, tremors, cough,3",Diabetes
"rash, chest pain, appetite loss, diarrhea, swelling, fever,6",Anxiety
"tremors, sore throat, swelling, shortness of breath, rash,5",Gastritis
"dizziness, fever, fatigue, shortness of breath, nausea, weight gain, swelling,7",Arthritis
"back pain, appetite loss, dizziness, muscle pain, anxiety,5",Liver Disease
"vomiting, shortness of breath, cough, blurred vision, muscle pain, fever, abdominal pain,7",Sinusitis
"rash, muscle pain, sore throat, insomnia,4",Thyroid Disorder
"back pain, chest pain, abdominal pain,3",Arthritis
"blurred vision, chest pain, weight loss, headache, vomiting, muscle pain,6",Gastritis
"anxiety, weight gain, chest pain, joint pain,4",Thyroid Disorder
"muscle pain, appetite loss, weight gain, anxiety,4",Chronic Kidney Disease
"insomnia, vomiting, abdominal pain, sneezing, back pain, nausea,6",Ulcer
"dizziness, sore throat, swelling, diarrhea, insomnia, chest pain, appetite loss,7",Epilepsy
"diarrhea, sneezing, anxiety,3",Common Cold
"vomiting, blurred vision, sweating, joint pain, sneezing, swelling, diarrhea,7",Liver Disease
"swelling, muscle pain, diarrhea,3",Common Cold
"weight loss, diarrhea, tremors,3",Ulcer
"insomnia, abdominal pain, weight loss, anxiety, dizziness, runny nose,6",Depression
"runny nose, nausea, back pain, sneezing, tremors, shortness of breath, diarrhea,7",Anxiety
"sneezing, depression, diarrhea, shortness of breath, runny nose, sore throat, chest pain,7",Obesity
"sore throat, headache, sweating, diarrhea, joint pain, blurred vision, appetite loss,7",Gastritis
"dizziness, weight loss, runny nose, muscle pain, cough, vomiting,6",Liver Disease
"blurred vision, fever, swelling, weight gain, joint pain, sneezing, sweating,7",Sinusitis
"weight loss, back pain, sweating, tremors, anxiety, diarrhea,6",Dermatitis
"fever, joint pain, dizziness, insomnia, swelling, sweating,6",Liver Disease
"anxiety, weight loss, fever, joint pain,4",Bronchitis
"depression, muscle pain, headache,3",Common Cold
"dizziness, vomiting, runny nose, tremors, swelling, joint pain,6",Heart Disease
"sneezing, fever, back pain,3",Anxiety
"swelling, depression, cough,3",Asthma
"anxiety, headache, diarrhea,3",Hypertension
"vomiting, runny nose, blurred vision, shortness of breath, rash, nausea, anxiety,7",Pneumonia
"weight gain, fever, chest pain,3",Chronic Kidney Disease
"sore throat, weight gain, blurred vision, sweating,4",IBS
"tremors, insomnia, anxiety, appetite loss, fatigue,5",Anemia
"muscle pain, insomnia, rash, sore throat, abdominal pain, depression, dizziness,7",Food Poisoning
"rash, depression, runny nose, blurred vision, headache, muscle pain,6",Pneumonia
"appetite loss, weight loss, swelling, sneezing, runny nose, muscle pain, weight gain,7",Heart Disease
"shortness of breath, runny nose, diarrhea,3",Anxiety
"dizziness, fever, sneezing, tremors, nausea, appetite loss,6",Parkinson's
"anxiety, blurred vision, shortness of breath, weight loss, fever,5",Gastritis
"sneezing, weight loss, swelling, diarrhea, blurred vision, tremors,6",Asthma
"sore throat, chest pain, diarrhea,3",Depression
"rash, sneezing, weight loss, abdominal pain, tremors, muscle pain, appetite loss,7",Chronic Kidney Disease
"chest pain, shortness of breath, diarrhea, fatigue, back pain,5",Ulcer
"swelling, blurred vision, nausea, vomiting, tremors, sneezing, shortness of breath,7",Thyroid Disorder
"fatigue, sweating, vomiting, chest pain, diarrhea,5",Parkinson's
"headache, shortness of breath, cough, appetite loss, weight loss, chest pain, tremors,7",Common Cold
"weight gain, chest pain, sneezing,3",Dermatitis
"shortness of breath, tremors, sneezing,3",Diabetes
"weight gain, depression, insomnia,3",Migraine
"chest pain, sore throat, diarrhea, fatigue, weight loss, muscle pain, anxiety,7",Depression
"joint pain, runny nose, sweating, chest pain, weight gain, muscle pain, swelling,7",Obesity
"swelling, vomiting, depression,3",Parkinson's
"diarrhea, nausea, weight loss, sore throat,4",COVID-19
"sneezing, chest pain, cough, diarrhea, sweating, blurred vision, back pain,7",Ulcer
"shortness of breath, appetite loss, depression, weight gain,4",Arthritis
"diarrhea, depression, headache, shortness of breath, appetite loss, sore throat, cough,7",Pneumonia
"chest pain, runny nose, fatigue, sweating, blurred vision, tremors, joint pain,7",Thyroid Disorder
"sore throat, anxiety, cough, muscle pain, back pain, dizziness,6",Migraine
"insomnia, sweating, tremors, weight gain,4",COVID-19
"weight gain, cough, swelling, nausea, sneezing,5",Anxiety
"nausea, weight gain, muscle pain, depression, sweating,5",Bronchitis
"dizziness, tremors, insomnia, fatigue, nausea, sweating,6",Food Poisoning
"sweating, swelling, weight loss, cough, runny nose, sore throat,6",Chronic Kidney Disease
"tremors, abdominal pain, fever, insomnia, weight loss, runny nose,6",Pneumonia
"anxiety, swelling, sneezing, depression, runny nose,5",Epilepsy
"headache, chest pain, runny nose, blurred vision, sneezing, fatigue, fever,7",Heart Disease
"chest pain, weight loss, fever, muscle pain,4",Anemia
"depression, sweating, headache,3",Ulcer
"muscle pain, sweating, sneezing, diarrhea, runny nose,5",Anemia
"abdominal pain, back pain, headache, sore throat, shortness of breath, muscle pain, dizziness,7",Hypertension
"chest pain, back pain, sweating,3",Anxiety
"runny nose, weight loss, sneezing, rash,4",Migraine
"dizziness, vomiting, blurred vision, diarrhea, weight gain, joint pain,6",IBS
"blurred vision, appetite loss, joint pain, sweating, insomnia, depression,6",Gastritis
"weight gain, dizziness, fatigue, runny nose, appetite loss, abdominal pain, swelling,7",Tuberculosis
"sore throat, sneezing, appetite loss, shortness of breath,4",Dermatitis
"tremors, dizziness, insomnia,3",IBS
"tremors, weight loss, cough, anxiety, sore throat, diarrhea,6",Allergy
"muscle pain, fatigue, swelling,3",Asthma
"fever, cough, dizziness, appetite loss, chest pain,5",Diabetes
"abdominal pain, muscle pain, weight gain, insomnia,4",Tuberculosis
"anxiety, tremors, joint pain,3",Diabetes
"headache, diarrhea, runny nose, depression, shortness of breath, appetite loss, back pain,7",Migraine
"insomnia, weight loss, nausea, sore throat, runny nose,5",Sinusitis
"blurred vision, shortness of breath, runny nose, chest pain, vomiting, joint pain,6",Allergy
"weight gain, rash, tremors, chest pain, blurred vision, swelling,6",Asthma
"weight gain, tremors, insomnia,3",Heart Disease
"sweating, chest pain, swelling, diarrhea, anxiety, rash,6",Thyroid Disorder
"insomnia, swelling, back pain, sweating, headache,5",Parkinson's
"chest pain, appetite loss, runny nose,3",Allergy
"sore throat, chest pain, dizziness, back pain,4",Thyroid Disorder
"rash, abdominal pain, sweating, shortness of breath, nausea, swelling, sneezing,7",Tuberculosis
"appetite loss, fatigue, runny nose, sore throat, headache,5",Dermatitis
"tremors, appetite loss, weight loss, rash, sore throat, joint pain,6",Thyroid Disorder
"rash, insomnia, back pain, sweating, shortness of breath, weight gain,6",Pneumonia
"sneezing, fever, anxiety, weight loss,4",Pneumonia
"depression, sweating, runny nose,3",Allergy
"headache, cough, chest pain,3",Liver Disease
"headache, joint pain, runny nose, rash, insomnia, blurred vision, weight loss,7",Asthma
"muscle pain, depression, fatigue, sweating,4",Thyroid Disorder
"blurred vision, rash, vomiting,3",Heart Disease
"fatigue, insomnia, rash, weight loss, depression,5",Dermatitis
"fatigue, tremors, sweating, runny nose,4",Heart Disease
"fever, cough, appetite loss, dizziness, diarrhea, headache, weight gain,7",Allergy
"vomiting, sweating, diarrhea, dizziness, headache, anxiety, fever,7",Hypertension
"appetite loss, nausea, fatigue, insomnia, tremors,5",Stroke
"weight gain, dizziness, fever, nausea,4",Food Poisoning
"abdominal pain, fatigue, back pain, sore throat, sneezing, runny nose,6",Thyroid Disorder
"runny nose, abdominal pain, diarrhea,3",Dementia
"chest pain, runny nose, depression, fever, cough, sneezing, joint pain,7",Depression
"sore throat, tremors, dizziness, anxiety, headache, sweating,6",Migraine
"weight loss, blurred vision, dizziness, joint pain, anxiety, abdominal pain, chest pain,7",Allergy
"appetite loss, blurred vision, fatigue,3",Liver Disease
"back pain, vomiting, muscle pain, runny nose, diarrhea, appetite loss, dizziness,7",Sinusitis
"dizziness, muscle pain, insomnia,3",Liver Disease
"sore throat, tremors, sweating, appetite loss, muscle pain, fatigue,6",Arthritis
"weight gain, weight loss, dizziness,3",Stroke
"tremors, back pain, cough, chest pain, anxiety, swelling,6",Food Poisoning
"headache, insomnia, sneezing, diarrhea,4",Epilepsy
"rash, fatigue, swelling, shortness of breath, weight gain, diarrhea, muscle pain,7",Dermatitis
"fever, anxiety, insomnia, blurred vision, shortness of breath, tremors, nausea,7",Parkinson's
"rash, fever, nausea, tremors, headache,5",Bronchitis
"back pain, depression, fever, sore throat,4",COVID-19
"runny nose, dizziness, nausea, rash, chest pain, sweating,6",IBS
"headache, nausea, swelling,3",COVID-19
"runny nose, insomnia, muscle pain, sneezing, anxiety,5",COVID-19
"fatigue, rash, muscle pain, tremors, chest pain, insomnia, blurred vision,7",Hypertension
"cough, diarrhea, joint pain, anxiety, fever,5",Arthritis
"swelling, shortness of breath, chest pain, dizziness,4",Obesity
"nausea, headache, joint pain, weight loss, blurred vision, diarrhea,6",Thyroid Disorder
"sore throat, joint pain, tremors, back pain, cough,5",Depression
"tremors, dizziness, weight gain,3",Bronchitis
"chest pain, fatigue, joint pain, fever, dizziness, nausea,6",Anemia
"sore throat, muscle pain, tremors, fatigue, diarrhea,5",Anxiety
"joint pain, tremors, chest pain,3",Epilepsy
"sore throat, abdominal pain, depression, fatigue,4",Gastritis
"rash, back pain, sweating, depression, headache,5",Sinusitis
"nausea, anxiety, headache, swelling,4",Heart Disease
"runny nose, swelling, weight gain, sweating, appetite loss, tremors,6",Diabetes
"dizziness, depression, tremors, headache, runny nose, sore throat, sneezing,7",Allergy
"weight gain, cough, rash, abdominal pain, sore throat,5",Depression
"rash, sweating, chest pain,3",Influenza
"abdominal pain, joint pain, runny nose, weight gain, weight loss, cough, appetite loss,7",Parkinson's
"anxiety, sneezing, abdominal pain, headache, cough,5",Hypertension
"abdominal pain, depression, nausea,3",Anemia
"abdominal pain, tremors, anxiety, nausea, rash, back pain,6",Ulcer
"insomnia, anxiety, cough, appetite loss, depression,5",Obesity
"weight loss, insomnia, joint pain,3",Gastritis
"tremors, headache, dizziness, sore throat, weight gain, insomnia, sweating,7",Dermatitis
"headache, anxiety, blurred vision, sore throat, chest pain, weight loss,6",Anemia
"insomnia, blurred vision, sweating, back pain,4",Anxiety
"abdominal pain, rash, fever, sweating, chest pain, nausea,6",Allergy
"headache, sore throat, chest pain, tremors,4",Hypertension
"sweating, back pain, abdominal pain, cough, insomnia, dizziness, anxiety,7",Obesity
"nausea, sweating, blurred vision, swelling,4",Tuberculosis
"muscle pain, rash, insomnia,3",Ulcer
"swelling, back pain, appetite loss, runny nose, diarrhea,5",Parkinson's
"sweating, vomiting, rash, insomnia, weight gain, runny nose,6",Depression
"muscle pain, nausea, vomiting, anxiety, headache, shortness of breath, cough,7",Epilepsy
"blurred vision, tremors, abdominal pain,3",Stroke
"shortness of breath, runny nose, abdominal pain, headache,4",COVID-19
"sweating, runny nose, rash, fever,4",Bronchitis
"diarrhea, joint pain, sore throat, rash, fever,5",Epilepsy
"appetite loss, headache, cough, chest pain, sweating,5",Allergy
"runny nose, anxiety, fever, sore throat, appetite loss, shortness of breath,6",Obesity
"abdominal pain, muscle pain, fatigue, swelling, chest pain, diarrhea, back pain,7",Thyroid Disorder
"runny nose, sore throat, fatigue, sneezing, anxiety, weight loss, fever,7",Liver Disease
"chest pain, muscle pain, fever, anxiety,4",Asthma
"insomnia, sore throat, abdominal pain, rash,4",Liver Disease
"weight loss, fever, joint pain, sneezing, cough, depression, appetite loss,7",Epilepsy
"appetite loss, sore throat, rash, diarrhea, back pain,5",Common Cold
"back pain, swelling, dizziness, headache, cough, rash, weight loss,7",Obesity
"blurred vision, sneezing, depression, nausea, headache, sore throat,6",Anxiety
"cough, appetite loss, vomiting, dizziness,4",Chronic Kidney Disease
"sneezing, shortness of breath, cough, swelling, depression, vomiting, chest pain,7",Anxiety
"fatigue, appetite loss, rash, muscle pain, joint pain,5",Gastritis
"sneezing, blurred vision, rash, appetite loss,4",Gastritis
"sore throat, muscle pain, anxiety, nausea, weight loss, chest pain,6",Thyroid Disorder
"chest pain, runny nose, anxiety, blurred vision, muscle pain,5",Gastritis
"cough, back pain, rash, anxiety, muscle pain, shortness of breath,6",Food Poisoning
"rash, abdominal pain, appetite loss, back pain, insomnia, nausea,6",Arthritis
"cough, headache, sore throat, diarrhea, depression, rash,6",Arthritis
"headache, insomnia, runny nose, rash, swelling, appetite loss, sore throat,7",Influenza
"dizziness, depression, shortness of breath, diarrhea, fatigue, fever,6",Food Poisoning
"weight loss, fatigue, shortness of breath, swelling, appetite loss, blurred vision,6",Epilepsy
"vomiting, fatigue, headache, sore throat, runny nose, nausea,6",Chronic Kidney Disease
"insomnia, rash, blurred vision, sore throat, weight loss,5",Depression
"blurred vision, depression, nausea, appetite loss,4",Dermatitis
"appetite loss, headache, diarrhea, sneezing,4",Pneumonia
"runny nose, appetite loss, weight loss, headache, anxiety,5",Dementia
"abdominal pain, muscle pain, swelling, sweating, weight gain, sore throat,6",IBS
"runny nose, insomnia, abdominal pain, rash, headache, weight loss,6",COVID-19
"muscle pain, abdominal pain, tremors, cough,4",Obesity
"nausea, dizziness, blurred vision, diarrhea, rash,5",Tuberculosis
"depression, weight loss, shortness of breath, headache,4",Heart Disease
"abdominal pain, depression, nausea,3",Stroke
"back pain, anxiety, dizziness, weight gain, cough, fever, sore throat,7",Diabetes
"swelling, weight gain, muscle pain, anxiety,4",Heart Disease
"chest pain, depression, tremors, sneezing, diarrhea, insomnia, joint pain,7",Sinusitis
"nausea, runny nose, muscle pain,3",Anemia
"headache, dizziness, blurred vision, sweating, back pain, rash, joint pain,7",Gastritis
"dizziness, diarrhea, runny nose,3",Stroke
"fatigue, cough, chest pain, joint pain,4",Asthma
"sweating, dizziness, weight gain, back pain,4",Dermatitis
"runny nose, sneezing, chest pain, sweating, fever, sore throat, joint pain,7",Migraine
"rash, cough, sweating, chest pain, sneezing, anxiety, depression,7",Hypertension
"tremors, fatigue, muscle pain,3",Stroke
"rash, cough, joint pain, sweating, weight gain, weight loss,6",Food Poisoning
"joint pain, abdominal pain, runny nose,3",Chronic Kidney Disease
"insomnia, anxiety, fatigue, headache, appetite loss, joint pain, rash,7",Anxiety
"vomiting, anxiety, abdominal pain, joint pain,4",Food Poisoning
"blurred vision, dizziness, appetite loss, sneezing,4",Influenza
"headache, dizziness, anxiety, sweating, nausea, joint pain, appetite loss,7",Parkinson's
"sweating, abdominal pain, weight loss, sneezing, blurred vision, weight gain, chest pain,7",Gastritis
"muscle pain, weight gain, chest pain,3",Gastritis
"sneezing, shortness of breath, depression, swelling, weight gain, back pain, diarrhea,7",Common Cold
"abdominal pain, depression, back pain, anxiety,4",Migraine
"cough, weight gain, blurred vision, fatigue,4",Anxiety
"headache, muscle pain, blurred vision, vomiting, sweating, abdominal pain,6",Gastritis
"blurred vision, headache, abdominal pain,3",Dermatitis
"abdominal pain, joint pain, dizziness, nausea, runny nose, weight loss,6",Arthritis
"anxiety, sneezing, vomiting, diarrhea, shortness of breath,5",Arthritis
"blurred vision, vomiting, sneezing, dizziness, rash,5",Chronic Kidney Disease
"insomnia, weight loss, joint pain, appetite loss, rash, headache, chest pain,7",Pneumonia
"runny nose, depression, shortness of breath, back pain, sneezing,5",COVID-19
"blurred vision, shortness of breath, headache, fatigue, anxiety, weight gain, diarrhea,7",Heart Disease
"diarrhea, depression, tremors, cough, fatigue, muscle pain, dizziness,7",Sinusitis
"fever, weight loss, nausea, muscle pain,4",Arthritis
"swelling, chest pain, dizziness, depression,4",Allergy
"weight loss, back pain, tremors, cough,4",Dementia
"sweating, joint pain, appetite loss,3",Bronchitis
"cough, fever, chest pain, weight gain, anxiety,5",Dermatitis
"abdominal pain, sneezing, headache, tremors, runny nose, shortness of breath, vomiting,7",Ulcer
"depression, shortness of breath, blurred vision, nausea, fever, dizziness,6",Diabetes
"nausea, anxiety, tremors, depression,4",Arthritis
"joint pain, insomnia, fatigue,3",Gastritis
"fever, shortness of breath, joint pain, diarrhea,4",Gastritis
"back pain, weight gain, fever, shortness of breath, depression, rash, diarrhea,7",Chronic Kidney Disease
"nausea, joint pain, insomnia, abdominal pain, blurred vision,5",Ulcer
"rash, anxiety, diarrhea, headache, sneezing,5",Pneumonia
"muscle pain, blurred vision, weight loss, sneezing, swelling,5",Parkinson's
"insomnia, swelling, anxiety, tremors,4",Obesity
"blurred vision, rash, sore throat, weight gain, fatigue, cough, weight loss,7",Ulcer
"nausea, dizziness, tremors, abdominal pain,4",Stroke
"sneezing, sore throat, abdominal pain, runny nose, cough, swelling, headache,7",Hypertension
"weight loss, runny nose, insomnia,3",Dementia
"shortness of breath, sweating, fever, back pain, vomiting, weight gain,6",Common Cold
"weight loss, cough, sore throat,3",Food Poisoning
"swelling, headache, depression, back pain,4",Liver Disease
"runny nose, joint pain, sweating, sore throat, insomnia, back pain,6",Sinusitis
"fatigue, nausea, weight loss, joint pain, abdominal pain,5",Dermatitis
"chest pain, runny nose, insomnia,3",Obesity
"sweating, diarrhea, tremors, runny nose, rash, headache,6",Stroke
"cough, appetite loss, insomnia,3",Obesity
"sore throat, fatigue, anxiety, cough,4",Asthma
"diarrhea, back pain, cough,3",Anemia
"swelling, tremors, cough, headache,4",Stroke
"dizziness, weight gain, anxiety, swelling, insomnia, tremors, diarrhea,7",Anxiety
"muscle pain, chest pain, shortness of breath, cough,4",Epilepsy
"depression, insomnia, muscle pain, weight loss,4",Bronchitis
"appetite loss, abdominal pain, dizziness, blurred vision, muscle pain, back pain,6",Allergy
"sneezing, diarrhea, sweating, chest pain, blurred vision, headache, runny nose,7",Diabetes
"abdominal pain, headache, joint pain, diarrhea, shortness of breath, vomiting, dizziness,7",Liver Disease
"sore throat, weight loss, back pain, sweating, vomiting,5",Dermatitis
"anxiety, cough, sore throat, vomiting, weight gain, insomnia, weight loss,7",Arthritis
"chest pain, fever, vomiting, back pain, fatigue,5",Dermatitis
"blurred vision, vomiting, joint pain, diarrhea, weight loss, dizziness, chest pain,7",Anemia
"chest pain, shortness of breath, rash, abdominal pain, sneezing,5",Allergy
"vomiting, rash, dizziness, muscle pain, cough,5",Migraine
"shortness of breath, weight loss, weight gain,3",Tuberculosis
"dizziness, diarrhea, joint pain, weight gain,4",Tuberculosis
"shortness of breath, swelling, sweating, sneezing, back pain,5",Stroke
"nausea, headache, back pain, weight loss, sneezing,5",Diabetes
"cough, sweating, sore throat, insomnia, tremors, fever, muscle pain,7",Influenza
"fever, vomiting, abdominal pain, runny nose,4",COVID-19
"sneezing, insomnia, tremors, fever, swelling, weight loss, blurred vision,7",Allergy
"weight loss, chest pain, fever, abdominal pain, sweating,5",Epilepsy
"fatigue, abdominal pain, headache, diarrhea,4",Depression
"shortness of breath, appetite loss, joint pain, sore throat, rash,5",Heart Disease
"chest pain, insomnia, sweating, tremors,4",Asthma
"sore throat, joint pain, weight loss,3",Obesity
"sore throat, sneezing, tremors, muscle pain,4",Common Cold
"abdominal pain, cough, diarrhea,3",Dermatitis
"cough, sore throat, insomnia, shortness of breath, weight loss,5",Migraine
"fever, vomiting, weight gain, headache, swelling,5",Diabetes
"weight gain, diarrhea, sweating, tremors,4",Chronic Kidney Disease
"swelling, back pain, headache, blurred vision, sweating, sore throat,6",Gastritis
"diarrhea, sweating, sore throat, dizziness, anxiety, back pain,6",Pneumonia
"appetite loss, runny nose, sneezing, diarrhea, rash,5",Common Cold
"insomnia, joint pain, sore throat, swelling, anxiety, chest pain, diarrhea,7",Diabetes
"joint pain, blurred vision, appetite loss, depression,4",Heart Disease
"sore throat, fever, chest pain,3",Food Poisoning
"sore throat, nausea, muscle pain, runny nose,4",Pneumonia
"fever, sore throat, rash,3",Liver Disease
"tremors, joint pain, fever, chest pain, muscle pain,5",Parkinson's
"diarrhea, weight gain, abdominal pain, nausea, insomnia, joint pain, swelling,7",Sinusitis
"headache, sore throat, nausea, muscle pain, shortness of breath, swelling,6",Heart Disease
"diarrhea, back pain, depression, sneezing, anxiety,5",Food Poisoning
"chest pain, fever, joint pain, dizziness,4",Pneumonia
"runny nose, dizziness, muscle pain, sweating, tremors,5",Depression
"anxiety, blurred vision, vomiting, sneezing, dizziness,5",Chronic Kidney Disease
"weight gain, appetite loss, diarrhea, dizziness, joint pain, shortness of breath,6",Chronic Kidney Disease
"vomiting, weight gain, weight loss, nausea, insomnia, appetite loss, fever,7",Pneumonia
"appetite loss, chest pain, blurred vision, sore throat, muscle pain, insomnia,6",Hypertension
"shortness of breath, insomnia, headache, blurred vision,4",Chronic Kidney Disease
"sneezing, weight gain, joint pain, weight loss, abdominal pain, blurred vision, muscle pain,7",Ulcer
"anxiety, depression, sore throat, fatigue, diarrhea, insomnia, blurred vision,7",Anemia
"weight gain, depression, insomnia,3",Parkinson's
"fatigue, fever, tremors, shortness of breath, diarrhea, abdominal pain,6",Depression
"diarrhea, runny nose, rash, joint pain, sweating, insomnia, weight gain,7",Dementia
"sneezing, fatigue, chest pain,3",Food Poisoning
"rash, chest pain, dizziness, runny nose,4",Anxiety
"sneezing, fatigue, runny nose, back pain, blurred vision,5",Migraine
"appetite loss, blurred vision, fatigue,3",Chronic Kidney Disease
"back pain, diarrhea, abdominal pain, nausea,4",Pneumonia
"runny nose, diarrhea, appetite loss, joint pain, depression, nausea,6",Stroke
"fever, back pain, anxiety, vomiting, runny nose, weight gain,6",Liver Disease
"vomiting, shortness of breath, swelling, blurred vision,4",Anemia
"nausea, rash, dizziness, vomiting, runny nose, fatigue, shortness of breath,7",Pneumonia
"anxiety, joint pain, weight gain, fatigue, rash,5",Allergy
"anxiety, weight gain, sore throat, insomnia, headache,5",Diabetes
"nausea, rash, blurred vision,3",Chronic Kidney Disease
"headache, weight gain, joint pain, muscle pain, nausea, sneezing, depression,7",Liver Disease
"weight loss, nausea, sneezing, chest pain,4",Bronchitis
"anxiety, cough, rash, fever, sneezing, headache,6",Anxiety
"muscle pain, insomnia, sneezing, tremors, blurred vision, runny nose,6",Epilepsy
"appetite loss, swelling, diarrhea,3",Dementia
"chest pain, nausea, swelling, runny nose, weight gain, sneezing, weight loss,7",Asthma
"swelling, weight loss, sweating, rash, cough,5",Pneumonia
"fatigue, back pain, depression, swelling, diarrhea, chest pain,6",Hypertension
"runny nose, tremors, fatigue,3",Food Poisoning
"blurred vision, rash, tremors, anxiety, depression, muscle pain, nausea,7",Depression
"appetite loss, cough, weight gain, rash,4",Anxiety
"dizziness, blurred vision, chest pain, weight gain,4",Stroke
"headache, swelling, appetite loss,3",Anxiety
"blurred vision, tremors, headache, diarrhea,4",Dermatitis
"sneezing, headache, weight gain, depression, shortness of breath, swelling,6",Obesity
"joint pain, abdominal pain, back pain,3",COVID-19
"dizziness, weight gain, fever, swelling, back pain, sore throat,6",Ulcer
"tremors, sore throat, appetite loss, weight loss, joint pain,5",Arthritis
"dizziness, sweating, chest pain, weight loss, weight gain,5",Migraine
"insomnia, swelling, cough, fatigue, depression,5",Depression
"runny nose, fever, muscle pain, vomiting,4",Pneumonia
"tremors, shortness of breath, sore throat, depression,4",Chronic Kidney Disease
"cough, joint pain, depression, chest pain,4",Food Poisoning
"blurred vision, fatigue, fever,3",Liver Disease
"diarrhea, abdominal pain, insomnia, runny nose, fever, back pain, dizziness,7",Tuberculosis
"sneezing, sore throat, diarrhea, joint pain,4",Anemia
"chest pain, headache, joint pain, swelling, sweating,5",Gastritis
"sore throat, abdominal pain, weight gain, fever,4",Arthritis
"back pain, vomiting, depression, headache, muscle pain,5",Ulcer
"sore throat, fatigue, headache, swelling,4",Dermatitis
"muscle pain, dizziness, appetite loss, headache, diarrhea,5",IBS
"anxiety, tremors, back pain, sweating, chest pain, blurred vision, fever,7",Asthma
"anxiety, abdominal pain, vomiting, back pain, joint pain, chest pain, depression,7",Hypertension
"diarrhea, sneezing, depression,3",IBS
"rash, dizziness, headache,3",Sinusitis
"insomnia, nausea, swelling, sneezing, sore throat, fever, weight gain,7",Food Poisoning
"cough, appetite loss, joint pain,3",Hypertension
"swelling, muscle pain, sweating, blurred vision, joint pain, sore throat, depression,7",Anemia
"sore throat, chest pain, abdominal pain, vomiting, appetite loss,5",Tuberculosis
"depression, swelling, tremors, insomnia, appetite loss, sore throat, chest pain,7",IBS
"cough, diarrhea, sore throat, muscle pain,4",Dermatitis
"chest pain, insomnia, back pain,3",Parkinson's
"blurred vision, fever, nausea, sneezing,4",Common Cold
"nausea, rash, headache, back pain, swelling,5",Depression
